 EQUATION NUMBER
 ---------------------
     node   dof    eqn
   84    1.839E-08 -1.092E-07
   85    1.977E-08 -1.262E-07
   86    2.064E-08 -1.419E-07
   87    2.112E-08 -1.559E-07
   88    2.143E-08 -1.682E-07
   89    0.000E+00  0.000E+00
   90    6.258E-09 -1.570E-08
   91    1.238E-08 -3.430E-08
   92    1.817E-08 -5.391E-08
   93    2.295E-08 -7.335E-08
   94    2.663E-08 -9.222E-08
   95    2.930E-08 -1.102E-07
   96    3.112E-08 -1.270E-07
   97    3.223E-08 -1.425E-07
   98    3.282E-08 -1.565E-07
   99    3.317E-08 -1.693E-07
  100    0.000E+00  0.000E+00
  101    1.031E-08 -1.643E-08
  102    2.074E-08 -3.630E-08
  103    2.888E-08 -5.586E-08
  104    3.493E-08 -7.506E-08
  105    3.926E-08 -9.361E-08
  106    4.218E-08 -1.113E-07
  107    4.402E-08 -1.278E-07
  108    4.505E-08 -1.431E-07
  109    4.555E-08 -1.571E-07
  110    4.580E-08 -1.703E-07
  111    0.000E+00  0.000E+00
  112    2.198E-08 -2.048E-08
  113    3.550E-08 -3.921E-08
  114    4.465E-08 -5.817E-08
  115    5.095E-08 -7.676E-08
  116    5.510E-08 -9.480E-08
  117    5.755E-08 -1.120E-07
  118    5.872E-08 -1.283E-07
  119    5.906E-08 -1.433E-07
  120    5.902E-08 -1.573E-07
  121    5.900E-08 -1.706E-07
 
 STRESS of ELEMENT :    1
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.270E+00 -1.231E-01 -5.430E-01
    2         -3.564E+00 -5.113E-01 -7.001E-01
    3         -2.404E+00 -5.718E-01 -9.960E-01
    4         -3.698E+00 -9.600E-01 -1.153E+00
 
 STRESS of ELEMENT :    2
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.946E+00 -3.278E-02 -3.714E-01
    2         -2.287E+00 -1.351E-01 -3.275E-01
    3         -1.909E+00  9.282E-02 -4.908E-01
    4         -2.250E+00 -9.514E-03 -4.469E-01
 
 STRESS of ELEMENT :    3
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.463E+00 -1.292E-02 -2.610E-01
    2         -1.575E+00 -4.659E-02 -2.376E-01
    3         -1.443E+00  5.408E-02 -3.003E-01
    4         -1.555E+00  2.040E-02 -2.768E-01
 
 STRESS of ELEMENT :    4
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.067E+00 -1.273E-03 -2.087E-01
    2         -1.096E+00 -9.767E-03 -1.848E-01
    3         -1.047E+00  6.692E-02 -2.186E-01
    4         -1.075E+00  5.843E-02 -1.947E-01
 
 STRESS of ELEMENT :    5
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -7.477E-01  2.906E-03 -1.722E-01
    2         -7.277E-01  8.897E-03 -1.528E-01
    3         -7.310E-01  5.841E-02 -1.652E-01
    4         -7.110E-01  6.440E-02 -1.458E-01
 
 STRESS of ELEMENT :    6
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -4.922E-01  5.030E-03 -1.412E-01
    2         -4.395E-01  2.086E-02 -1.254E-01
    3         -4.787E-01  5.010E-02 -1.227E-01
    4         -4.260E-01  6.592E-02 -1.069E-01
 
 STRESS of ELEMENT :    7
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.943E-01  7.142E-03 -1.091E-01
    2         -2.212E-01  2.909E-02 -9.717E-02
    3         -2.841E-01  4.113E-02 -8.347E-02
    4         -2.110E-01  6.307E-02 -7.157E-02
 
 STRESS of ELEMENT :    8
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.513E-01  1.145E-02 -7.219E-02
    2         -7.379E-02  3.470E-02 -6.451E-02
    3         -1.447E-01  3.340E-02 -4.507E-02
    4         -6.721E-02  5.665E-02 -3.739E-02
 
 STRESS of ELEMENT :    9
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -6.040E-02  2.265E-02 -2.989E-02
    2         -5.333E-04  4.061E-02 -2.742E-02
    3         -5.829E-02  2.969E-02 -8.932E-03
    4          1.579E-03  4.765E-02 -6.468E-03
 
 STRESS of ELEMENT :   10
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
